coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
272788,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:424dad63-747b-4a46-98a0-a0b37d8cd09d,"2023-07-16 05:07:11"
3025906,unknown,s.d.,,"Eriogonum saurinum",1,Reveal,Eriogonum,saurinum,,,,,urn:uuid:1231ac7a-c7f2-49f8-9492-6c78ba3fcffc,"2023-07-16 05:07:11"
3026260,unknown,s.d.,,"Eriogonum humivagans",1,Reveal,Eriogonum,humivagans,,,,,urn:uuid:3f74bc96-eac8-48db-845f-40f983f4201e,"2023-07-16 05:07:11"
3405075,"J.L. Reveal",1975,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:584d8875-8559-4d3c-beaa-08445e1dd229,"2023-07-16 05:07:11"
3405077,"James L. Reveal",2001,,"Eriogonum lonchophyllum var. fendlerianum",1,"(Benth.) Reveal",Eriogonum,lonchophyllum,var.,fendlerianum,,,urn:uuid:f743ffb2-0735-4c79-88c2-b36ad7096986,"2023-07-16 05:07:11"
3405149,"James L. Reveal",2001,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:cf69ed3a-405c-470b-8f75-0af77377218c,"2023-07-16 05:07:11"
3405151,"James L. Reveal",2001,,"Eriogonum lonchophyllum var. intermontanum",1,"(Reveal) Reveal",Eriogonum,lonchophyllum,var.,intermontanum,,,urn:uuid:8049862d-c014-4af4-84ec-73f47e55b3ec,"2023-07-16 05:07:11"
6170729,"James L. Reveal",1966,2,"Eriogonum lonchophyllum",0,"Torr. & Gray",,,,,,,urn:uuid:246d202a-0cfa-4e80-9b48-cd1ea365b9de,"2015-02-20 10:39:57"
6170729,"James L. Reveal",1967,3,"Eriogonum saurinum",0,Reveal,,,,,,,urn:uuid:3f976b50-9243-472d-9dd9-cafe5d2631e7,"2015-02-20 10:40:31"
6170729,"UTC synonomy","20 February 2015",4,"Eriogonum lonchophyllum",1,"Torr. & Gray",,,,,"FNA 5",,urn:uuid:c60d53d0-ea28-46cc-a5b4-dd6f5878f13a,"2015-02-20 11:05:03"
6170729,unknown,"assumed to be year collected",1,"Eriogonum effusum",0,Nutt.,,,,,,,urn:uuid:02706515-96ea-447a-abea-cf359b4eb745,"2015-02-20 11:05:03"
6170749,"James L. Reveal",1967,2,"Eriogonum saurinum",0,Reveal,,,,,,,urn:uuid:0c4dff07-8129-4524-9fd4-4ce1daedc776,"2015-02-20 11:09:12"
6170749,"UTC synonomy","20 February 2015",3,"Eriogonum lonchophyllum",1,"Torr. & Gray",,,,,"FNA 5",,urn:uuid:78dbfbfc-dbc9-47df-94c0-bc2b9cd27aef,"2015-02-20 11:09:59"
6170749,unknown,"assumed to be year collected",1,"Eriogonum lonchophyllum",0,"Torr. & Gray",,,,,,,urn:uuid:4dae6a0c-90c6-4f50-b996-94e71e328580,"2015-02-20 11:09:59"
6170764,"James L. reveal",1967,2,"Eriogonum saurinum",0,Reveal,,,,,,,urn:uuid:e74ab452-ebd8-4902-b474-191f56fc84f2,"2015-02-20 11:17:19"
6170764,"UTC synonomy","20 February 2015",,"Eriogonum lonchophyllum",1,"Torr. & Gray",,,,,"FNA 5",,urn:uuid:70a3ec19-12f9-43be-a6bf-806739d40c0a,"2015-02-20 11:17:47"
6170764,unknown,"assumed to be year collected",1,"Eriogonum lonchophyllum",0,"Torr. & Gray",,,,,,,urn:uuid:b4ec7b18-d0e1-4aa9-972c-0efee3841257,"2015-02-20 11:17:47"
6794055,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:ceace70c-53c8-4bee-ab3d-25164bb5eff9,"2023-07-16 05:07:11"
4005981,unknown,s.d.,,"Eriogonum lonchophyllum var. nudicaule",1,"(Torr.) Reveal",Eriogonum,lonchophyllum,var.,nudicaule,,,urn:uuid:e7713728-8297-425e-a972-d719c358122e,"2023-07-16 05:07:11"
4005981,unknown,unknown,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bb312404-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:b47669bc-ab2d-4910-991e-31539888cdca,"2014-02-21 18:08:59"
4006033,unknown,s.d.,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:aafd0d4e-968b-4211-8163-de24f0b25479,"2023-07-16 05:07:11"
4006033,unknown,unknown,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,bb313271-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:4ed53243-535d-4a55-9997-8be4e78d8093,"2014-02-21 18:08:59"
4020233,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:74c22acc-7181-41f7-b97d-39f0385b2ac2,"2023-07-16 05:07:11"
4020233,unknown,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,bcc9f907-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:ee3986a2-f4d2-4d6b-8736-e85f4fe34638,"2014-02-21 18:08:59"
4020342,"R.C. Sivinski",1998,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:5e9a2f67-f6b8-495d-bf0a-eea12daa0f69,"2023-07-16 05:07:11"
4020342,"R.C. Sivinski,",1998-01-01,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,bb5b31fd-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:d35426a6-490e-4a61-807d-8d5f298d0fdf,"2014-02-21 18:08:59"
4032373,unknown,s.d.,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:921924d4-284b-4094-839a-7479f6d96402,"2023-07-16 05:07:11"
4032373,unknown,unknown,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,bb818150-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:c67c02ba-ef48-4d9c-9838-1675e49513f1,"2014-02-21 18:08:59"
4062965,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:8b412d0d-3bb2-469d-953a-cdcbb2588db7,"2023-07-16 05:07:11"
4062965,unknown,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,be2e5847-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:36cc47dc-63ae-44d0-ae07-627f49c2a2dc,"2014-02-21 18:08:59"
4072307,unknown,s.d.,,"Eriogonum lonchophyllum var. nudicaule",1,"(Torr.) Reveal",Eriogonum,lonchophyllum,var.,nudicaule,,,urn:uuid:0311b10d-c6e8-4c43-bad0-3f2650aa1acd,"2023-07-16 05:07:11"
4072307,unknown,unknown,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbcd9240-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:439c5727-0710-45b2-b7bd-8043c28eb047,"2014-02-21 18:08:59"
4083186,unknown,s.d.,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:b211816c-b442-4644-9d02-d80c6e4f3da6,"2023-07-16 05:07:11"
4083186,unknown,unknown,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,bbdf4fba-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:88cbd102-8fa7-41a6-9c86-e0745098bc15,"2014-02-21 18:08:59"
4086776,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:d50a28ea-e016-4a05-9541-278c9b5fbba6,"2023-07-16 05:07:11"
4086776,unknown,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,bf042377-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:0676b8bc-16c4-4467-9ab1-a3f54525a271,"2014-02-21 18:08:59"
4086789,unknown,s.d.,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:3fee6ba3-81ba-4186-aa51-4a35817accd1,"2023-07-16 05:07:11"
4086789,unknown,unknown,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,bbe60a4a-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:4865458a-ef31-40e0-8757-f8f148df813f,"2014-02-21 18:08:59"
4086792,unknown,s.d.,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,,urn:uuid:3aeb85f3-d895-4098-bc87-f3b94c5f69c1,"2023-07-16 05:07:11"
4086792,unknown,unknown,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,bbe60bfb-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:b189d8d8-a4e9-48a3-96ce-f8333090863a,"2014-02-21 18:08:59"
