"model","resolution","iteration","pa_ratio","dist_order","seed","cv_structure","orig_pr_auc","orig_roc_auc","n","pr_auc"
"1arc-Iteration1-PA1:1DO:0-Seed1056","1 arc-second",1,"1:1","0",1056,"spatial knndm",0.96787851371559,0.955645161290323,58,0.585593404267447
"1arc-Iteration1-PA1:1DO:0-Seed1057","1 arc-second",1,"1:1","0",1057,"spatial knndm",0.983936397269756,0.975806451612903,58,0.566210406369438
"1arc-Iteration1-PA1:1DO:0-Seed1058","1 arc-second",1,"1:1","0",1058,"spatial knndm",0.949611141011168,0.940772078265468,58,0.429401315737082
"1arc-Iteration1-PA1:1DO:0-Seed1059","1 arc-second",1,"1:1","0",1059,"spatial knndm",0.979376900946598,0.972662657189721,58,0.614053912022102
"1arc-Iteration1-PA1:1DO:0-Seed1060","1 arc-second",1,"1:1","0",1060,"spatial knndm",0.981512484416654,0.974313022700119,58,0.593725789475425
"1arc-Iteration1-PA1:1DO:0-Seed1061","1 arc-second",1,"1:1","0",1061,"spatial knndm",0.96377489799334,0.963399503722084,58,0.534313396999678
"1arc-Iteration1-PA1:2.25DO:0-Seed1032","1 arc-second",1,"1:2.25","0",1032,"spatial knndm",0.953996832409106,0.962615207373272,58,0.65616088148237
"1arc-Iteration1-PA1:2.25DO:0-Seed1033","1 arc-second",1,"1:2.25","0",1033,"spatial knndm",0.962760760913918,0.964924878479894,58,0.681549388048315
"1arc-Iteration1-PA1:2.25DO:0-Seed1034","1 arc-second",1,"1:2.25","0",1034,"spatial knndm",0.969675628260789,0.96701430996847,58,0.68794720262984
"1arc-Iteration1-PA1:2.25DO:0-Seed1035","1 arc-second",1,"1:2.25","0",1035,"spatial knndm",0.962867229479195,0.965696587190276,58,0.660495030756624
"1arc-Iteration1-PA1:2.25DO:0-Seed1036","1 arc-second",1,"1:2.25","0",1036,"spatial knndm",0.947238562311637,0.959796015180266,58,0.616555714769797
"1arc-Iteration1-PA1:2.5DO:0-Seed1016","1 arc-second",1,"1:2.5","0",1016,"spatial knndm",0.909681609412585,0.949698305871432,58,0.623657448646887
"1arc-Iteration1-PA1:2.5DO:0-Seed1017","1 arc-second",1,"1:2.5","0",1017,"spatial knndm",0.957166325794117,0.968517369727047,58,0.663056068428823
"1arc-Iteration1-PA1:2.5DO:0-Seed1018","1 arc-second",1,"1:2.5","0",1018,"spatial knndm",0.948124276866075,0.972017752760338,58,0.564230911880674
"1arc-Iteration1-PA1:2.75DO:0-Seed1037","1 arc-second",1,"1:2.75","0",1037,"spatial knndm",0.932808037651446,0.965120967741935,58,0.640738042724578
"1arc-Iteration1-PA1:2.75DO:0-Seed1038","1 arc-second",1,"1:2.75","0",1038,"spatial knndm",0.94682696035359,0.966816499206769,58,0.667087010533556
"1arc-Iteration1-PA1:2.75DO:0-Seed1039","1 arc-second",1,"1:2.75","0",1039,"spatial knndm",0.934415978235033,0.964346349745331,58,0.647279649702843
