"resolution","cv_structure","iteration","pa_ratio","dist_order","n_seeds","n_pts","mean_pr_auc","sd_pr_auc","min_pr_auc","max_pr_auc","mean_orig_pr_auc","sd_orig_pr_auc"
"1/3 arc-second","spatial knndm",1,"1:3.95750708215297","0",3,305,0.498714530694204,0.0176967968963311,0.478349178839133,0.510351838277644,0.308115867705527,0.00142177810186789
"3 arc-second","spatial knndm",1,"1:4","0",4,305,0.49740282172884,0.0214083367428854,0.469404000406208,0.521449322213091,0.618393063952568,0.118810177696964
"1 arc-second","spatial knndm",1,"1:3.75","0",5,305,0.496155877671463,0.024252037827058,0.469422678704999,0.525960809375372,0.903557780031293,0.0238372734136838
"1 arc-second","spatial knndm",0,"1:1.75","0",5,305,0.492823414787006,0.00437005844810038,0.486899882968809,0.499117617332697,0.874263932797207,0.0341560414136072
"1 arc-second","spatial knndm",1,"1:2","0",3,305,0.492088888595114,0.0363691124912483,0.453325791213476,0.525462544147922,0.95531446655613,0.0223142934860027
"3 arc-second","spatial knndm",1,"1:5","0",4,305,0.491729178957977,0.0287178230416156,0.466274356895768,0.532401483017171,0.519927637098486,0.0634876293580267
"1 arc-second","spatial knndm",1,"1:1.25","0",5,305,0.491011819653863,0.0429554113101878,0.427866733222832,0.530598550955425,0.965838613790958,0.0166668151350872
"3 arc-second","spatial knndm",1,"1:3","0",4,305,0.490931200726438,0.0199609622731158,0.463043906673869,0.506887812574908,0.670414662324052,0.138106872424134
"1 arc-second","spatial knndm",1,"1:3.25","0",5,305,0.488862335660222,0.0327130926991503,0.458655569822076,0.524372452099481,0.926633729511817,0.0259527321185182
"1 arc-second","spatial knndm",1,"1:2.5","0",3,305,0.487503011114232,0.0278199081746948,0.467693467272081,0.519308325732302,0.938324070690926,0.0252137383833736
"3 arc-second","classic",1,"1:1","0",13,305,0.486051969295504,0.0169273472501132,0.46041589971153,0.519709901133465,0.906590406148587,0.0536715919020485
"1/3 arc-second","spatial knndm",1,"1:2","0",3,305,0.484260672684891,0.00675600417638269,0.479019384515423,0.491885341767039,0.46074463642862,0.0244563264446923
"1/3 arc-second","spatial knndm",0,"1:1","0",3,305,0.484259520829885,0.0438074292034581,0.439070302536937,0.526540210489508,0.710941852233039,0.0314835349807824
"1 arc-second","spatial knndm",1,"1:3.5","0",3,305,0.484130068790617,0.0348870019424234,0.463147437227616,0.524402247287109,0.893248330064573,0.0326316308653891
"1 arc-second","spatial knndm",1,"1:3","0",3,305,0.482853044611887,0.0403910933682682,0.447378540559636,0.526812617190727,0.934135213015611,0.0307048220895105
"3 arc-second","spatial knndm",1,"1:2","0",4,305,0.478866999555811,0.0132329537199205,0.466500619017007,0.492179895278228,0.709583989752896,0.0909173522089594
